StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q7,Q8,Q9_NPS_GROUP,Q9,Q10_NPS_GROUP,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q14A,Q14B,Q14C,Q14D,Q15,Q16,Q17,Q17_3_TEXT,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q32_7_TEXT,Q33,SolutionRevision,ProjectCategory,ProjectType,Q7 - Parent Topics,Q7 - Topics
5/13/21 13:00,5/13/21 13:07,IP Address,73.9.98.88,100,407,TRUE,5/13/21 13:07,R_3qKEcSaf72HvkFo,,,,,41.80180359,-87.59929657,anonymous,EN,Candidate,I hoped to learn more about hiring practices in sustainability and conversation jobs and network with those organizations,Positive,Extremely satisfied,Extremely satisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,The session with Angelou was incredibly informative,Candidate Workshop w/ Angelou Ezeilo and Taishya Adams,,,,,,Extremely satisfied,,,Passive,8,Promoter,9,Make it more clear what the hiring events and interviews will look like because I was confused if I had an interview/how to get one.,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Illinois,Female,"White,Black or African American",,,2,CX,EventFeedback,,
5/13/21 12:59,5/13/21 13:10,IP Address,100.11.21.90,100,656,TRUE,5/13/21 13:10,R_2DMqF2tbswh2Owu,,,,,39.9611969,-75.2303009,anonymous,EN,Candidate,"I am seeking a job in conservation, and was hoping to find a job opportunity.",Connective,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Extremely satisfied,Somewhat dissatisfied,Extremely dissatisfied,The closing speaker,Candidate Workshop w/ Angelou Ezeilo and Taishya Adams,,,,,,Somewhat dissatisfied,"The one I attended was largely focused on specific peoples' experiences, but provided very little insight or help to me as a person seeking a job.","Communicate from the beginning what the session will be focusing on. The goal of the session was rather unclear to me based on the event description, and made it difficult to know whether I needed to plan around attending it.",Passive,7,Detractor,6,Clearly summarize each event beforehand so that candidates may plan their days accordingly. I work full time and had difficulty assessing whether I needed to take a full or half day off to attend the sessions. ,Yes,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,"Training with Dr. Carolyn Finney,Networking Training for Candidates",,Somewhat dissatisfied,Somewhat dissatisfied,,Talk to as many people as possible when networking; cold emailing professionals is okay,"Again, they were very focused on specific individuals' experiences. Not much direct and specific information was given that would have been helpful for me as a job seeker.","Yes, as a candidate",,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,,,,,,About the same,"In the future, a wider spread of geographic locations for the jobs and organizations participating",,,,Getting to meet people from the organizations I was interested in,,,,Pennsylvania,Female,"White,Black or African American",,"This program seemed to be targeted towards people who do not have a solid understanding of the diversity and inclusion issues in the conservation field. As someone who has that background and vocabulary to describe my experiences, I found a lot of the talks and sessions very unhelpful, since it was mostly people reiterating things that I already knew to be true about that professional landscape. This may be especially helpful for employers, but as a job-seeker, it didn't do much for me. In general, I would like to see more panels targeted towards candidates about SPECIFIC skills and insight regarding job-seeking in the conservation sector, and perhaps matching candidates more specifically with individual organizations/employers who may share their interests other than those on the job list.

A MAJOR problem I had was the fact that during the networking sessions on May 11, most of the organizations that I was interested in connecting with, and that were listed as holding virtual sessions, were not actually present. I would spend 5 minutes ""waiting for the host to start this meeting"" and no one would show up. Out of the 10-ish groups I wanted to connect with, only 2 were available during the networking time slot, and those were already people I was scheduled to interview with the next day. Overall, I am extremely disappointed with the structure and availability of the networking sessions. ",2,CX,EventFeedback,,Unknown
5/13/21 13:04,5/13/21 13:19,IP Address,108.28.122.133,100,936,TRUE,5/13/21 13:19,R_32PYSD5GBNmoiUY,,,,,39.02580261,-77.39830017,anonymous,EN,Sponsor,Learn more about equitable hiring ,Validating ,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Emerging Professional Panel,Equitable Candidate Review and Interviewing,,,Neither satisfied nor dissatisfied,,,,Focusing on skills instead of experience when writing job ads and reviewing resumes.,"I felt that the session was disorganized. I was hoping for more structure from the Bridge team. I had hoped the breakout session would start with some slides/teaching/education/tips from the Bridge team experts, with some break-outs or discussion mixed it. Instead, I felt like the participants were running the show. I wanted to hear from experts, not other employers, on best practices. The conversation often went off topic as we were left to out own devices. ",Detractor,5,Detractor,5,"Give us a lunch break!!! 9-hours straight with only a few 15-minutes breaks was not enough. An additional 1-hour break is a must to encourage folks to eat, stretch, walk, step away from screens, and tend to any other personal needs. ",Yes,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"Equitable Hiring Training with José González,Legal Context of Building Diverse & Inclusive Workplaces with Maia Cogen",Neither satisfied nor dissatisfied,,,Somewhat satisfied,You measure what you value,"I have attended a lot of similar trainings and discussions within my HR career, I found that a lot of what was covered was repetitive of previous trainings I have had, I felt that I did not get much new information. ",No,,,,,,,,,,,,,,,,,,Already shared,,,Virginia,Female,White,,,2,CX,EventFeedback,,Unknown
5/13/21 13:30,5/13/21 13:40,IP Address,170.144.71.173,100,608,TRUE,5/13/21 13:40,R_1gtqVYW2SxOO5v4,,,,,37.75100708,-97.8219986,anonymous,EN,Hiring Partner,I joined the Bridge Project as an agency representative. I hoped to gain highly-skilled and diverse leads for our positions.,Encouraging,Somewhat satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Unsure/Not applicable,Unsure/Not applicable,Somewhat satisfied,The conversations going on within the chat were great. There was such a feeling of community.,"Workforce Planning - Creating On Ramps,Cultivating a Diverse Candidate Pool,Supporting Equitable Hiring in the Federal Workforce",Extremely satisfied,Extremely satisfied,,,Extremely satisfied,,That there is a need for these discussions and for young employees entering the workforce to be connected to these discussions.,I think they were great.,Promoter,10,Promoter,10,Spread the word.,Yes,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,"Equitable Hiring Training with José González,Training with Dr. Carolyn Finney,Legal Context of Building Diverse & Inclusive Workplaces with Maia Cogen",Extremely satisfied,Extremely satisfied,,Extremely satisfied,Everyone should be hearing what I'm hearing.,Better summary/outline of what the trainings will go over/discuss.,"Yes, as staff, coach, or other (please specify):",Presenter,,,,,,,,,,Extremely satisfied,About the same,,,,Better coordination leading up to events. Planning felt behind schedule.,Engaging with students and knowing they are taking something away.,,,,Virginia,Female,Black or African American,,Thank you for a great event!,2,CX,EventFeedback,,Unknown
5/13/21 13:53,5/13/21 14:15,IP Address,174.21.189.76,100,1338,TRUE,5/13/21 14:15,R_tKu19ymCPuHNw3f,,,,,47.71780396,-122.2998962,anonymous,EN,Coach,"I feel the need to participate in the conversation: to learn, to share what I learn with my colleagues and help my organization move forward.",Powerful,Extremely satisfied,Extremely satisfied,Extremely satisfied,,Extremely satisfied,,Extremely satisfied,Jose. What a gift. ,"Cultivating a Diverse Candidate Pool,Preparing for a More Diverse Workforce and Investing in Your Staff",,Extremely satisfied,,Extremely satisfied,,,,,Passive,7,Promoter,10,A bit more lead time so organizations and potential partners can anticipate opportunities.,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,Loved the opporutity. Nothing could have been beter...my match was perfect! Hope she thought so.,,Washington,Female,White,,"Thank you for a wonderful, enriching and learning experience.",2,CX,EventFeedback,,
5/13/21 14:01,5/13/21 14:16,IP Address,73.163.189.95,100,876,TRUE,5/13/21 14:16,R_1jiAiQNTJRagXCO,,,,,38.90339661,-76.98819733,anonymous,EN,Hiring Partner,Commitment to diversifying the field and finding a great fit for our org.,Valuable,Somewhat dissatisfied,Somewhat satisfied,Extremely satisfied,Somewhat dissatisfied,Unsure/Not applicable,Extremely dissatisfied,Somewhat satisfied,Dr. Finney's presentation was thought-provoking and impactful. She raised valuable discussion points and sparked disussion within our organization.,"Workforce Planning - Creating On Ramps,Preparing for a More Diverse Workforce and Investing in Your Staff",Somewhat dissatisfied,,,Somewhat satisfied,,,It was not really clear what was supposed to be happening in these sessions or where non-hiring manager participants should be.,Perhaps more clearly describe what discussion is expected in the breakout sessions.,Detractor,5,Promoter,10,"The full-day program is a bit much, particularly since there was no lunch break and the transitional breaks were eaten up by sessions that ran over.",Yes,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,"Equitable Hiring Training with José González,Legal Context of Building Diverse & Inclusive Workplaces with Maia Cogen",Somewhat satisfied,,,Somewhat satisfied,"In short, the bent of many of the speakers participating in the program was that our societal systems need to be dismantled, which I disagree with and don't believe is practical. It was interesting to hear that we must respect all perspectives and appreciate all participation, even when some of the perspectives are not conducive to building a better society. In particular, I thought there was a high degree of irony in Jose's statement that when someone says, 'all men are trash', it is for us to inquire why that person says that and to learn their experiences before we pass judgement on the statement or the speaker when I have no doubt the statement 'all women are trash' would be met very differently. Both statements are abohorrent and inappropriate. In de-normalizing prejudice and oppression against one class of persons, we cannot permit the oppression of and prejudice against another simply because it may contain a majority of individuals who have behaved poorly. Making space for more people doesn't mean denigrating those we believe have been taking up too much space.",,"Yes, as an employer/hiring partner",,,,,,,Extremely satisfied,Somewhat satisfied,Extremely satisfied,Extremely satisfied,,About the same,,Yes,The curation of the candidates was interesting. We reviewed some where it was not clear to us why they were referred to us based on the positions available. It would be good to know whether an applicant specifically wanted to be considered for the position we posted or whether their referral was based purely on the perspective of someone at the Bridge Project,,Getting to interview a candidate whose materials suggested she'd be wonderful for the job and having an amazing interview with her.,,,,District of Columbia,Male,White,,I'm glad y'all brought this together and I look forward to the next round!,2,CX,EventFeedback,,Unknown
5/13/21 15:05,5/13/21 15:17,IP Address,173.27.243.150,100,721,TRUE,5/13/21 15:17,R_3DwEFlvXzE3Bea9,,,,,37.21170044,-93.2990036,anonymous,EN,General Attendee,I was hoping to gain insight into equitable onboarding and training of new hires.,Intentional,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Breakout session,Preparing for a More Diverse Workforce and Investing in Your Staff,,,,Extremely satisfied,,,New action items to make workplace more inclusive,"It was great! I wonder if there's a way to set the expectation that more folks turn on their camera or some other collaborative platform to share thoughts to make it even more interactive but the panel and moderator did a great job of welcoming input. It really felt collaborative! Then again, I'm really comfortable sharing in such settings and there were a majority of folks that did not share.",Promoter,10,Promoter,10,"One thing that is a result of the platform - the chat was shut off when the time was up! It limited some of those last minute, feel-good messages, follow up questions, etc.",Yes,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,"Equitable Hiring Training with José González,Training with Dr. Carolyn Finney,Legal Context of Building Diverse & Inclusive Workplaces with Maia Cogen",Extremely satisfied,Extremely satisfied,,Neither satisfied nor dissatisfied,José González and Carolyn Finney both are skilled facilitators. It is so difficult to be really engaging and moving in the virtual setting and they did a great job.,"The legal context is not directly relevant to the work that I do, so maybe that's why it wasn't as impactful for me, but the fact that Maia Cogen was not able to address specific questions and give legal advice made the presentation feel a bit static. These situations are so nuanced and so not being able to address the nuance of specific situations was tricky. It felt out of pace with the other trainings as they were so personal and asked so much of the attendees, if this makes sense.",No,,,,,,,,,,,,,,,,,,,,,Missouri,Female,White,,"As a part of my role at work, I have had to put together a ton of virtual events, and I want to say that this event was really well put together and I know how much work that takes. I feel that the group set a tone that felt inclusive, welcoming, warm, and not too stuffy or formal. The technology flowed smoothly, easy to use. And the why behind every event was clear. Great work and I'm honored to take part.",2,CX,EventFeedback,,Unknown
5/13/21 15:11,5/13/21 15:28,IP Address,68.100.37.4,100,1034,TRUE,5/13/21 15:28,R_3PTsPfq1M2J3udS,,,,,38.76089478,-77.15529633,anonymous,EN,Coach,"I believe in the mission of The Bridge Project and wanted to be part of the movement to bring diversity to conservation jobs. I was hoping to hear what other organizations are doing to incorporate DE&I into their hiring processes and throughout the employee lifecycle, as well as organizational culture. ",dynamic,Neither satisfied nor dissatisfied,Extremely satisfied,Extremely satisfied,Somewhat dissatisfied,Extremely satisfied,Unsure/Not applicable,Extremely satisfied,Hearing from the young professionals ,Cultivating a Diverse Candidate Pool,,Somewhat dissatisfied,,,,,recruiting within the local churches and other local orgs ,Prepare the participants to share during the breakout sessions; have the presenters curate the conversation,Promoter,10,Promoter,10,I loved that there were ASL interpreters but wondered if those who utilized the ASL feed had a steady view. I know Zoom can be tricky with rotating views based on who is speaking.  Also incorporate networking throughout the day instead of the end of the day when most have to go back to work or have other family/personal responsibilities.,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,I loved being a coach. I wish there was a bit more time to connect with the mentees before the event. I also would have liked to see the job descriptions to help the mentee match their experience with the openings. There also seems to be some uncertainty about how long the we are to serve as coaches. ,,District of Columbia,Female,Black or African American,,,2,CX,EventFeedback,,Unknown
5/13/21 13:10,5/13/21 15:57,IP Address,47.212.207.253,100,10021,TRUE,5/13/21 15:57,R_cvF4UfBSiefG305,,,,,35.15589905,-111.6825027,anonymous,EN,Candidate,The opportunity to engage with employers and learn about new career paths I may not have originally ,Inspiring,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,The networking session was great to be able to move around ,Candidate Workshop w/ Angelou Ezeilo and Taishya Adams,,,,,,Extremely satisfied,To not lose yourself and know your worth,Maybe smaller sessions to have more conversation!,Promoter,10,Promoter,10,"Just more implementation in the SW, I noticed many people are from the East Coast! But it’s the first year and the entire event was incredible!",Yes,Extremely satisfied,Extremely satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Training with Dr. Carolyn Finney,,Extremely satisfied,,,Dr. Carolyn Finney is extremely inspiring and I learned so much from her!,Making them a little more known or sending out reminders the night before. They were overall great! ,"Yes, as a candidate",,Extremely satisfied,Somewhat satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,,,,,,Better,Maybe more direct communication of how the choosing process works or the interview scheduling. I was placed two back to back and it turns out the information on both of the jobs were incorrect for salary and one was a completely different position entirely. ,,,,I began having a small anxiety attack during one of my interviews but was very open and the Water Hub team actually did a breathing exercise with me briefly. This completely kicked the anxiety and I moved forward with the interview and it went well. ,,,,Arizona,Female,"White,Spanish, Hispanic, or Latino",,Thank you for a great experience!,2,CX,EventFeedback,,Unknown
5/13/21 16:21,5/13/21 16:26,IP Address,75.164.41.59,100,336,TRUE,5/13/21 16:26,R_1I6moq3akNzjkO0,,,,,45.5644989,-122.6446991,anonymous,EN,Hiring Partner,"Both the desire to reach a more broad/diverse group of candidates with our posting, and the desire to learn more about equitable hiring to inform our own processes. ",Valuable. ,Somewhat satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,Unsure/Not applicable,Somewhat satisfied,Unsure/Not applicable,Unsure/Not applicable,The stories from individual speakers. ,Did not attend breakout sessions,,,,,,,,,Passive,7,Promoter,10,"The scheduling/meeting platforms didn't always work for me. Is it possible to just work through Zoom? Also, the specific training times and interview times came late, making it hard to plan my week/day.",Yes,Extremely satisfied,Extremely satisfied,Somewhat satisfied,Somewhat dissatisfied,"Equitable Hiring Training with José González,Legal Context of Building Diverse & Inclusive Workplaces with Maia Cogen",Extremely satisfied,,,Neither satisfied nor dissatisfied,Bias is sticky: we have to commit to constant practice and have strong processes to counter it. ,,"Yes, as an employer/hiring partner",,,,,,,Extremely satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,,About the same,,Yes,"Maybe more direction about process. We have a rubric we already use, as well as interview questions that map to core competencies for the position, and a writing exercise, but there wasn't much direction around the interview and subsequent steps. ",,The candidates are wonderful!,,,,Oregon,Female,White,,,2,CX,EventFeedback,,
