text,weight
inspirational,13
excellent,3
valuable,2
impactful,2
revolutionary,2
disappointing,2
empowering,2
positive,1
connective,1
validating,1
encouraging,1
powerful,1
intentional,1
dynamic,1
enriching,1
hope,1
disconnected,1
educational,1
exciting,1
refreshing,1
innovative,1
informational,1
delicious,1
profound,1
grand,1
productive,1
eye,1
opening,1
confusing,1
grateful,1
reflective,1
trust,1
long,1
energizing,1
important,1
grounding,1
uplifting,1
reinvigorating,1
callibration,1
welcoming,1
